,NAME,PRICE,RATING
0,"APPLE iPhone SE (White, 64 GB)","₹28,999",4.5
1,"APPLE iPhone SE (Black, 128 GB)","₹33,999",4.5
2,"APPLE iPhone SE (Red, 64 GB)","₹28,999",4.5
3,"APPLE iPhone SE (White, 128 GB)","₹33,999",4.5
4,"APPLE iPhone SE (Black, 64 GB)","₹28,999",4.5
5,"APPLE iPhone SE (Red, 128 GB)","₹33,999",4.5
6,"Apple iPhone SE (White, 64 GB) (Includes EarPods, Power Adapter)","₹28,999",4.5
7,"Apple iPhone SE (White, 256 GB) (Includes EarPods, Power Adapter)","₹43,999",4.5
8,"Apple iPhone SE (Black, 256 GB) (Includes EarPods, Power Adapter)","₹43,999",4.5
9,"Apple iPhone SE (Black, 64 GB) (Includes EarPods, Power Adapter)","₹28,999",4.5
10,"Apple iPhone SE (White, 128 GB) (Includes EarPods, Power Adapter)","₹33,999",4.5
11,"Apple iPhone SE (Red, 256 GB) (Includes EarPods, Power Adapter)","₹43,999",4.5
12,"Apple iPhone SE (Red, 128 GB) (Includes EarPods, Power Adapter)","₹33,999",4.5
13,"Apple iPhone SE (Black, 128 GB) (Includes EarPods, Power Adapter)","₹33,999",4.5
14,"Apple iPhone SE (Red, 64 GB) (Includes EarPods, Power Adapter)","₹28,999",4.5
15,"APPLE iPhone SE (White, 256 GB)","₹43,999",4.5
16,"APPLE iPhone SE (Black, 256 GB)","₹43,999",4.5
17,"APPLE iPhone SE (Red, 256 GB)","₹43,999",4.5
